instrument,sr_cost_per_trade,bad_on_cost
AEX,0.0014193172106422662,False
AEX_mini,0.02585517931441303,True
ALUMINIUM,0.0035033923479904708,False
ALUMINIUM_LME,0.0032231898323495357,False
AUD,0.0010417455238655984,False
AUDJPY,0.002093233258678934,False
AUD_micro,0.0017923348904965888,False
BB3M,0.060687919860806974,True
BBCOMM,0.007853551251918485,False
BITCOIN,0.001323025177537549,False
BOBL,0.0017520471055475168,False
BONO,0.006273585411260582,False
BOVESPA,0.030740189336984632,True
BRE,0.002581703716687034,False
BRENT-LAST,0.0008083822645143234,False
BRENT_W,0.000579915371215995,False
BTP,0.0009753261112014493,False
BTP3,0.0033681221756970436,False
BUND,0.0008909448774734486,False
BUTTER,0.02905017823518001,True
BUXL,0.0006143141490494676,False
CAC,0.0009682021474217124,False
CAD,0.0013062371161796378,False
CAD10,0.0009690915069769904,False
CAD2,0.0030610840472367305,False
CAD5,0.0018239180896945132,False
CAD_micro,0.0022030856517618177,False
CANOLA,0.0018724319862254862,False
CH10,0.03381087889518705,True
CHEESE,0.006511214105324009,False
CHF,0.0009041421907440008,False
CHFJPY,0.001799683806333081,False
CHF_micro,0.0018210645838009046,False
CHINAA-CON,0.003969826170092777,False
CLP,0.0003593394520057623,False
CNH,0.000757902601556324,False
CNH-onshore,0.060534951058279995,True
COAL,0.018232638326020654,True
COAL-GEORDIE,0.062429768143324745,True
COCOA,0.001545406909068171,False
COCOA_LDN,0.0014553899142721101,False
COFFEE,0.002239934306029965,False
COPPER,0.000865750931217771,False
COPPER-micro,0.001934839909438915,False
COPPER-mini,0.003076537057949309,False
COPPER_LME,0.0015465407691305703,False
CORN,0.002450981888013966,False
CORN_mini,0.003434608278512623,False
COTTON,0.0007865908273587614,False
COTTON2,0.002136343301243458,False
CRUDE_ICE,0.0004867771444383699,False
CRUDE_W,0.001093420855568901,False
CRUDE_W_micro,0.0015261727274930741,False
CRUDE_W_mini,0.0016007723384251537,False
CZK,0.027638532675232592,True
DAX,0.0008209103351599458,False
DJSTX-SMALL,0.020049870650249203,True
DOW,0.0006374646261626265,False
DOW_mini,0.0003148198136278152,False
DX,0.000782611777173105,False
EPRA-EUROPE,0.011079375363028587,True
ETHANOL,0.008669915072607894,False
ETHER-micro,0.0025549907892921594,False
ETHEREUM,0.0007135048191099284,False
EU-AUTO,0.003528485446249568,False
EU-BANKS,0.0036477690340635275,False
EU-BASIC,0.003218679392892536,False
EU-CHEM,0.0074906871840795565,False
EU-CONSTRUCTION,0.006016783641492405,False
EU-DIV30,0.005254515515354064,False
EU-DJ-OIL,0.005818068983364209,False
EU-DJ-TECH,0.004406133548794013,False
EU-DJ-TELECOM,0.008478294623419947,False
EU-DJ-UTIL,0.00553538621205867,False
EU-FOOD,0.005857639805018914,False
EU-HEALTH,0.007166484845845797,False
EU-HOUSE,0.008967199271713253,False
EU-INSURE,0.008858480202654966,False
EU-MEDIA,0.009835867759562128,False
EU-MID,0.015912800610149276,True
EU-OIL,0.004695111875464311,False
EU-REALESTATE,0.007583800294410611,False
EU-RETAIL,0.007451977718388044,False
EU-TECH,0.003072821047674365,False
EU-TRAVEL,0.0052165262894834806,False
EU-UTILS,0.00670099821746153,False
EUA,0.000836959714492881,False
EUR,0.0007642283887979639,False
EURAUD,0.002203396560947338,False
EURCAD,0.002868512303438651,False
EURCHF,0.002386969116889779,False
EURIBOR,0.010399682836533366,True
EURIBOR-ICE,0.003202189296056868,False
EURO600,0.0022725704649508766,False
EUROSTX,0.0014453403497929774,False
EUROSTX-LARGE,0.014088512091782397,True
EUROSTX-SMALL,0.016883924826189473,True
EUROSTX200-LARGE,0.022212227235388432,True
EUR_micro,0.0014248462875821072,False
EUR_mini,0.0012871936596684783,False
FANG,0.010900051511687997,True
FED,0.004830737524297305,False
FEEDCOW,0.0014601111999431285,False
FTSE100,0.0007760252875546709,False
FTSE250,0.004498518816875872,False
FTSECHINAA,0.002069453181091018,False
FTSECHINAH,0.003993962560790145,False
FTSEINDO,0.06269403796282459,True
FTSETAIWAN,0.0009187539857673825,False
FTSEVIET,0.0886282015141157,True
GAS-LAST,0.001367408247785309,False
GAS-PEN,0.001016953049035865,False
GASOIL,0.0007739530390375067,False
GASOILINE,0.0005923025396574652,False
GASOILINE_ICE,0.0007904846586535677,False
GASOILINE_micro,0.016573146699371395,True
GAS_US,0.0011092600736661105,False
GAS_US_mini,0.002611080520230456,False
GBP,0.0011818544995559495,False
GBPCHF,0.0035752381175650104,False
GBPEUR,0.002145401291380459,False
GBPJPY,0.0018617511095258756,False
GBP_micro,0.0018585044026643213,False
GICS,0.007103835473194489,False
GILT,0.0006626737933126712,False
GOLD,0.0004759016910981505,False
GOLD-mini,0.0010793756766261987,False
GOLD_micro,0.0006490460849249366,False
HANG,0.0005116161417436649,False
HANGENT,0.0008739956251310384,False
HANGENT_mini,0.0021873884401612,False
HANGTECH,0.000278586836186663,False
HANG_mini,0.0008989185225903166,False
HEATOIL,0.0006546833256141378,False
HEATOIL-ICE,0.0009210197144391984,False
HIGHYIELD,0.005143214261381361,False
HOUSE-US,0.2871457234090925,True
IBEX,0.00023602727609344824,False
IBEX_mini,0.002682528785046361,False
IG,0.0043306504014048045,False
INR,0.005556164770654164,False
IRON,0.0023548541774754904,False
IRS,0.026309694841179683,True
JGB,0.001616175946780382,False
JGB-SGX-mini,0.003201527897509987,False
JGB-mini,0.00716836230612136,False
JP-REALESTATE,0.0038599046104308165,False
JPY,0.0008432249435182207,False
JPY_mini,0.0025245736210734084,False
KOSDAQ,0.001202390614194911,False
KOSPI,0.003562836072190703,False
KOSPI_mini,0.003907902194030263,False
KR10,0.0019432224250471907,False
KR3,0.005157947775738568,False
KRWUSD,0.005502693498346786,False
KRWUSD_mini,0.00350017950490604,False
LEAD_LME,0.006359491903254912,False
LEANHOG,0.001437429489611957,False
LIVECOW,0.0014655331527745415,False
LUMBER-new,0.0073058163821422915,False
MIB,0.0014948772296833977,False
MILK,0.007725592099273107,False
MILKDRY,0.054177398056041194,True
MILKWET,0.13287713493910538,True
MILLWHEAT,0.0036317007034099547,False
MSCIASIA,0.003948099666342473,False
MSCIEAFA,0.0008980982614135766,False
MSCIEMASIA,0.00025428380433974087,False
MSCISING,0.0018427819573710576,False
MSCITAIWAN,0.001594401118687145,False
MSCIWORLD,0.02177038983781349,True
MUMMY,0.002832490536259437,False
MXP,0.002176059976263106,False
NASDAQ,0.00019056462646421045,False
NASDAQ_micro,0.00024284970168006733,False
NICKEL_LME,0.0024518530880712278,False
NIKKEI,0.0006455824659468793,False
NIKKEI400,0.0016041339559774534,False
NOK,0.0036171826796234916,False
NZD,0.001002018493674179,False
OAT,0.0012145013018137565,False
OATIES,0.006344614594647454,False
OJ,0.0070540103781720894,False
OMX,0.15495994008997954,True
PALLAD,0.0012220617507521332,False
PLAT,0.0011695502677864702,False
PLN,0.00440073227977587,False
R1000,0.0025378940677539146,False
REDWHEAT,0.0014306715656356034,False
RICE,0.0050235328270167405,False
ROBUSTA,0.00300957533035855,False
RUBBER,0.004487772072663817,False
RUR,0.0003618875996422395,False
RUSSELL,0.0006079214999397978,False
RUSSELL_mini,0.000358562757514119,False
SARONA,0.003685882937487016,False
SEK,0.003317943368148578,False
SGD,0.0030628315903103135,False
SGD_mini,0.005175122784270539,False
SGX,0.004072858202555916,False
SHATZ,0.0033492801804694793,False
SILVER,0.0008675462300689183,False
SMI,0.0013872729240777732,False
SMI-MID,0.028737824271295172,True
SOFR,0.0040381368785351686,False
SONIA3,0.002476803292096754,False
SOYBEAN,0.0013886162110056089,False
SOYBEAN_mini,0.0027652512977177504,False
SOYMEAL,0.001339463510736133,False
SOYOIL,0.001728934649633218,False
SP400,0.0009242285986009064,False
SP500,0.00036130855474833767,False
SP500_micro,0.0005235629756207043,False
SPI200,0.0009319130313230736,False
STEEL,0.017407359925296545,True
SUGAR11,0.0015245985411982594,False
SUGAR16,0.08458978746705875,True
SUGAR_WHITE,0.0017127510522250416,False
SWISSLEAD,0.08908191831176551,True
TIN_LME,0.016289787299785544,True
TOPIX,0.0008221071348462165,False
TWD,0.0004940349199633582,False
TWD-mini,0.009902229236749412,False
US-DISCRETE,0.0017180260318928455,False
US-ENERGY,0.0022927282891014675,False
US-FINANCE,0.002202468778961568,False
US-HEALTH,0.0022414107276454917,False
US-INDUSTRY,0.0022937520746831854,False
US-MATERIAL,0.002688457549026196,False
US-PROPERTY,0.002917659967301755,False
US-REALESTATE,0.001799697522512984,False
US-STAPLES,0.00255994284691675,False
US-TECH,0.001131831474089701,False
US-UTILS,0.0017339718349954733,False
US10,0.0016493352738778339,False
US10U,0.0012397128513706819,False
US2,0.0016656010017707926,False
US20,0.0015031066128700246,False
US3,0.001431637892579705,False
US30,0.0010241119544792626,False
US5,0.0013792486230166591,False
V2X,0.009091178787765884,False
VIX,0.004414991123798405,False
VIX_mini,0.004630687756915613,False
VNKI,0.02522504547528714,True
WHEAT,0.0016569314293591764,False
WHEAT_ICE,0.020969249044938906,True
WHEAT_mini,0.0028959835679122285,False
WHEY,0.04313425482978402,True
YENEUR,0.0011552056673153946,False
ZAR,0.002544306971315881,False
ZINC_LME,0.0035936705044621697,False
